Distortion,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC
Gaussian Noise,0.852,0.853,0.896,0.963,0.963,0.998,1.0,1.0,1.0
Covariate Drift,0.87,0.872,0.905,0.926,0.929,0.999,0.963,0.966,0.996
Distribution Shift,0.852,0.853,0.896,0.963,0.963,0.987,0.963,0.964,0.997
Class Imbalance,0.84,0.842,0.89,0.96,0.96,0.999,1.0,1.0,1.0
Missing Values,0.852,0.853,0.896,0.963,0.963,0.985,1.0,1.0,1.0
Label Noise,0.778,0.78,0.842,0.889,0.887,0.938,0.907,0.909,0.929
Outlier Injection,0.778,0.774,0.839,0.889,0.891,0.96,0.926,0.926,0.989
Feature Corruption,0.852,0.853,0.896,0.963,0.964,0.999,1.0,1.0,1.0
