Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.4,0.167,0.0,0.6,0.444,0.0,0.6,0.25,0.0,0.4,0.167,0.0,0.6,0.444,0.0,0.4,0.167,0.0,0.4,0.167,0.0
Covariate Drift,0.0,0.0,0.0,0.6,0.25,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.2,0.222,0.0,0.2,0.133,0.0,0.0,0.0,0.0
Distribution Shift,0.2,0.1,0.0,0.6,0.444,0.0,0.6,0.25,0.0,0.2,0.1,0.0,0.4,0.356,0.0,0.2,0.111,0.0,0.2,0.111,0.0
Class Imbalance,0.4,0.292,0.0,0.6,0.444,0.0,0.6,0.25,0.0,0.4,0.292,0.0,0.4,0.356,0.0,0.2,0.1,0.0,0.2,0.1,0.0
Missing Values,0.6,0.367,0.0,0.6,0.444,0.0,0.6,0.25,0.0,0.6,0.367,0.0,0.4,0.356,0.0,0.4,0.167,0.0,0.4,0.167,0.0
Label Noise,0.4,0.292,0.0,0.6,0.489,0.0,0.4,0.19,0.0,0.4,0.292,0.0,0.4,0.389,0.0,0.2,0.125,0.0,0.2,0.125,0.0
Outlier Injection,0.2,0.1,0.0,0.6,0.444,0.0,0.6,0.25,0.0,0.2,0.1,0.0,0.4,0.356,0.0,0.2,0.1,0.0,0.2,0.1,0.0
Feature Corruption,0.2,0.1,0.0,0.6,0.444,0.0,0.6,0.25,0.0,0.4,0.35,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.2,0.25,0.0
