Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC
Gaussian Noise,0.972,0.971,1.0,0.972,0.971,0.997,0.944,0.941,1.0,0.889,0.891,0.911,0.972,0.971,0.998,0.889,0.895,0.978
Covariate Drift,0.528,0.501,0.967,0.778,0.788,0.995,0.806,0.819,0.936,0.694,0.701,0.774,0.639,0.615,0.934,0.444,0.33,0.855
Distribution Shift,0.944,0.946,0.997,1.0,1.0,1.0,0.472,0.354,0.99,0.778,0.784,0.83,1.0,1.0,1.0,0.833,0.837,0.969
Class Imbalance,1.0,1.0,1.0,0.963,0.958,1.0,1.0,1.0,1.0,0.926,0.922,0.923,0.963,0.962,0.998,0.963,0.965,0.998
Missing Values,0.861,0.858,0.984,0.806,0.807,0.975,0.833,0.824,0.963,0.833,0.832,0.871,0.833,0.829,0.891,0.75,0.743,0.951
Label Noise,0.611,0.603,0.718,0.583,0.57,0.77,0.583,0.57,0.72,0.611,0.595,0.702,0.639,0.635,0.714,0.556,0.544,0.688
Outlier Injection,0.722,0.714,0.904,0.722,0.714,0.708,0.722,0.703,0.881,0.75,0.744,0.806,0.722,0.721,0.797,0.75,0.747,0.905
Feature Corruption,0.889,0.888,0.994,0.889,0.891,0.991,0.917,0.915,0.992,0.611,0.486,0.686,0.889,0.889,0.988,0.5,0.393,0.902
