Model,Robustness Score,Peak Accuracy,Stability Score,Composite Score
Random Forest,95.74,1.0,0.966,1.0
Logistic Regression,93.71,0.9722,0.9565,0.5942
SVM,75.32,0.9722,0.8179,0.0
