Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC
Gaussian Noise,0.917,0.916,0.995,0.944,0.946,0.993,0.944,0.946,0.991
Covariate Drift,0.528,0.501,0.967,0.778,0.788,0.995,0.806,0.819,0.936
Distribution Shift,0.944,0.946,0.997,1.0,1.0,1.0,0.472,0.354,0.99
Class Imbalance,1.0,1.0,1.0,0.963,0.958,1.0,1.0,1.0,1.0
Missing Values,0.806,0.807,0.963,0.861,0.857,0.971,0.833,0.833,0.951
Label Noise,0.611,0.609,0.752,0.611,0.611,0.767,0.583,0.579,0.756
Outlier Injection,0.667,0.672,0.875,0.639,0.628,0.631,0.778,0.776,0.872
Feature Corruption,0.972,0.974,1.0,0.889,0.883,0.993,0.944,0.941,1.0
