Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
Random Forest,1.0,0.8,0.4,100.0,🟢 Always Reliable,1
Logistic Regression,0.9722,0.8,0.4,100.0,🟢 Always Reliable,2
SVM,0.9722,0.8,0.1706,42.6,🟡 Degrades Mid-Range,3
