Rank,Model,Baseline,Worst,Abs Drop,% Drop,Deg Rate/Level,Robustness Score
1,SVM,0.6472,0.6566,-0.0094,-1.46,-0.0189,91.63
2,KNN,0.5812,0.5338,0.0474,8.16,0.0949,91.43
3,Gradient Boosting,0.658,0.6677,-0.0097,-1.48,-0.0194,90.09
4,Random Forest,0.6392,0.6308,0.0084,1.31,0.0168,89.18
5,Logistic Regression,0.6024,0.5617,0.0407,6.75,0.0814,87.97
6,Decision Tree,0.65,0.6503,-0.0003,-0.05,-0.0006,87.84
7,XGBoost,0.6436,0.6007,0.0429,6.66,0.0857,86.83
