Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.616,0.616,0.671,0.579,0.578,0.593,0.615,0.609,0.657,0.612,0.612,0.612,0.546,0.546,0.57,0.622,0.621,0.675,0.51,0.507,0.526
Covariate Drift,0.49,0.374,0.495,0.506,0.425,0.607,0.586,0.585,0.621,0.485,0.452,0.485,0.537,0.534,0.545,0.485,0.335,0.493,0.585,0.585,0.628
Distribution Shift,0.503,0.478,0.522,0.602,0.599,0.607,0.523,0.419,0.636,0.483,0.435,0.482,0.573,0.573,0.6,0.504,0.467,0.53,0.499,0.45,0.521
Class Imbalance,0.638,0.626,0.744,0.574,0.569,0.604,0.627,0.622,0.714,0.651,0.633,0.649,0.584,0.565,0.593,0.639,0.632,0.759,0.641,0.627,0.744
Missing Values,0.537,0.537,0.56,0.554,0.552,0.57,0.568,0.565,0.593,0.54,0.539,0.54,0.525,0.525,0.535,0.549,0.549,0.569,0.527,0.517,0.562
Label Noise,0.498,0.498,0.507,0.498,0.494,0.498,0.491,0.488,0.488,0.479,0.479,0.479,0.504,0.503,0.504,0.488,0.485,0.494,0.5,0.5,0.5
Outlier Injection,0.574,0.572,0.635,0.549,0.548,0.512,0.568,0.529,0.62,0.582,0.574,0.582,0.548,0.547,0.553,0.595,0.594,0.621,0.581,0.575,0.631
Feature Corruption,0.504,0.498,0.511,0.502,0.501,0.498,0.507,0.502,0.515,0.502,0.495,0.502,0.506,0.506,0.512,0.495,0.491,0.492,0.491,0.49,0.496
