Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC
Gaussian Noise,0.333,0.25,0.547,0.5,0.292,0.611,0.5,0.292,0.744,0.167,0.1,0.5,0.5,0.417,0.742,0.167,0.1,0.583
Covariate Drift,0.167,0.083,0.2,0.5,0.167,0.417,0.5,0.167,0.3,0.167,0.071,0.367,0.333,0.225,0.675,0.5,0.167,0.306
Distribution Shift,0.333,0.2,0.678,0.167,0.083,0.467,0.333,0.2,0.717,0.167,0.083,0.483,0.5,0.292,0.886,0.167,0.083,0.817
Class Imbalance,0.0,0.0,0.375,0.167,0.083,0.567,0.167,0.083,0.717,0.0,0.0,0.317,0.167,0.083,0.7,0.0,0.0,0.328
Missing Values,0.0,0.0,0.375,0.167,0.083,0.617,0.167,0.083,0.8,0.0,0.0,0.333,0.333,0.333,0.744,0.0,0.0,0.378
Label Noise,0.0,0.0,0.2,0.167,0.071,0.469,0.167,0.071,0.3,0.0,0.0,0.312,0.167,0.071,0.375,0.0,0.0,0.1
Outlier Injection,0.167,0.083,0.444,0.167,0.083,0.3,0.167,0.083,0.6,0.167,0.083,0.383,0.167,0.083,0.597,0.167,0.083,0.344
Feature Corruption,0.167,0.083,0.583,0.167,0.083,0.583,0.167,0.083,0.717,0.167,0.083,0.5,0.167,0.083,0.625,0.167,0.083,0.583
