Model,Robustness Score,Peak Accuracy,Stability Score,Composite Score
Random Forest,78.14,1.0,0.8556,0.8621
Logistic Regression,78.73,0.982,0.8664,0.7667
SVM,75.68,0.973,0.8218,0.0
