Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC
Gaussian Noise,0.819,0.803,0.923,0.824,0.807,0.94,0.833,0.814,0.914
Covariate Drift,0.546,0.396,0.784,0.562,0.408,0.893,0.594,0.433,0.657
Distribution Shift,0.729,0.722,0.931,0.727,0.72,0.989,0.639,0.598,0.87
Class Imbalance,1.0,1.0,1.0,0.98,0.973,0.999,0.976,0.968,0.997
Missing Values,0.812,0.783,0.892,0.787,0.745,0.866,0.773,0.71,0.808
Label Noise,0.6,0.572,0.67,0.591,0.56,0.676,0.585,0.553,0.674
Outlier Injection,0.728,0.703,0.897,0.679,0.657,0.676,0.705,0.701,0.904
Feature Corruption,1.0,1.0,1.0,0.98,0.978,0.999,0.962,0.957,0.998
