Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.0,0.0,0.494,0.333,0.2,0.411,0.167,0.083,0.606,0.0,0.0,0.317,0.167,0.083,0.608,0.167,0.083,0.572,0.0,0.0,0.35
Covariate Drift,0.167,0.083,0.2,0.5,0.167,0.417,0.5,0.167,0.3,0.167,0.071,0.367,0.333,0.225,0.675,0.5,0.167,0.306,0.333,0.2,0.583
Distribution Shift,0.333,0.2,0.678,0.167,0.083,0.467,0.333,0.2,0.717,0.167,0.083,0.483,0.5,0.292,0.886,0.167,0.083,0.817,0.333,0.2,0.556
Class Imbalance,0.0,0.0,0.375,0.167,0.083,0.567,0.167,0.083,0.717,0.0,0.0,0.317,0.167,0.083,0.7,0.0,0.0,0.328,0.167,0.1,0.583
Missing Values,0.0,0.0,0.178,0.167,0.071,0.561,0.167,0.071,0.611,0.0,0.0,0.333,0.167,0.071,0.5,0.0,0.0,0.178,0.167,0.083,0.489
Label Noise,0.0,0.0,0.531,0.167,0.083,0.633,0.167,0.083,0.861,0.0,0.0,0.317,0.167,0.083,0.55,0.0,0.0,0.333,0.333,0.2,0.617
Outlier Injection,0.167,0.083,0.383,0.333,0.208,0.45,0.333,0.2,0.794,0.167,0.1,0.4,0.333,0.208,0.631,0.167,0.1,0.311,0.333,0.208,0.689
Feature Corruption,0.167,0.1,0.358,0.5,0.167,0.45,0.5,0.167,0.372,0.167,0.125,0.483,0.333,0.208,0.567,0.167,0.071,0.35,0.0,0.0,0.278
