Rank,Model,Baseline,Worst,Abs Drop,% Drop,Deg Rate/Level,Robustness Score
1,Random Forest,0.9333,0.7273,0.2061,22.08,0.5152,85.89
2,Logistic Regression,0.9333,0.7273,0.2061,22.08,0.5152,85.89
3,SVM,0.9667,0.6818,0.2848,29.47,0.7121,82.77
