Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
Random Forest,0.9333,0.75,0.3,75.0,🟡 Degrades Mid-Range,1
Logistic Regression,0.9333,0.75,0.3,75.0,🟡 Degrades Mid-Range,2
SVM,0.9667,0.75,0.3,75.0,🟡 Degrades Mid-Range,3
