Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.167,0.167,0.556,0.167,0.1,0.55,0.167,0.1,0.456,0.167,0.25,0.467,0.167,0.1,0.675,0.0,0.0,0.45,0.333,0.35,0.661
Covariate Drift,0.167,0.083,0.2,0.5,0.167,0.417,0.5,0.167,0.3,0.167,0.071,0.367,0.333,0.225,0.675,0.5,0.167,0.306,0.333,0.2,0.583
Distribution Shift,0.333,0.2,0.678,0.167,0.083,0.467,0.333,0.2,0.717,0.167,0.083,0.483,0.5,0.292,0.886,0.167,0.083,0.817,0.333,0.2,0.556
Class Imbalance,0.0,0.0,0.375,0.167,0.083,0.567,0.167,0.083,0.717,0.0,0.0,0.317,0.167,0.083,0.7,0.0,0.0,0.328,0.167,0.1,0.583
Missing Values,0.0,0.0,0.286,0.167,0.071,0.672,0.167,0.071,0.722,0.0,0.0,0.333,0.167,0.071,0.5,0.0,0.0,0.256,0.167,0.071,0.583
Label Noise,0.167,0.111,0.0,0.333,0.19,0.0,0.333,0.19,0.0,0.167,0.111,0.0,0.333,0.19,0.0,0.167,0.111,0.0,0.5,0.356,0.0
Outlier Injection,0.167,0.083,0.456,0.0,0.0,0.256,0.167,0.083,0.561,0.0,0.0,0.317,0.0,0.0,0.572,0.0,0.0,0.406,0.167,0.071,0.378
Feature Corruption,0.167,0.1,0.358,0.5,0.167,0.45,0.5,0.167,0.372,0.167,0.125,0.483,0.333,0.208,0.567,0.167,0.071,0.35,0.0,0.0,0.278
