Rank,Model,Baseline,Worst,Abs Drop,% Drop,Deg Rate/Level,Robustness Score
1,Random Forest,0.0,0.1667,-0.1667,-16666666666.67,-0.4167,100.0
2,Logistic Regression,0.1667,0.3333,-0.1667,-100.0,-0.4167,100.0
3,SVM,0.1667,0.5,-0.3333,-200.0,-0.8333,100.0
4,Decision Tree,0.0,0.3333,-0.3333,-33333333333.33,-0.8333,100.0
5,KNN,0.1667,0.5,-0.3333,-200.0,-0.8333,100.0
6,Gradient Boosting,0.0,0.3333,-0.3333,-33333333333.33,-0.8333,100.0
7,XGBoost,0.1667,0.3333,-0.1667,-100.0,-0.4167,100.0
