Model,Robustness Score,Peak Accuracy,Stability Score,Composite Score
SVM,35.83,0.5,0.8561,0.8149
Logistic Regression,33.75,0.6,0.7823,0.7025
Gradient Boosting,26.67,0.5,0.7917,0.3962
XGBoost,20.42,0.4,0.8592,0.2978
Decision Tree,22.5,0.4,0.8241,0.2312
Random Forest,20.42,0.4,0.8345,0.2175
KNN,18.33,0.5,0.795,0.2163
