Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.694,0.51,0.656,0.704,0.582,0.638,0.724,0.483,0.636,0.673,0.57,0.57,0.633,0.489,0.582,0.755,0.623,0.733,0.745,0.521,0.625
Covariate Drift,0.755,0.468,0.58,0.367,0.363,0.695,0.745,0.427,0.597,0.724,0.611,0.605,0.745,0.584,0.658,0.745,0.427,0.598,0.745,0.427,0.753
Distribution Shift,0.694,0.51,0.685,0.673,0.629,0.695,0.745,0.427,0.606,0.684,0.538,0.538,0.755,0.608,0.751,0.663,0.524,0.667,0.745,0.614,0.715
Class Imbalance,0.932,0.483,0.842,0.905,0.475,0.712,0.919,0.479,0.863,0.743,0.426,0.377,0.878,0.558,0.986,0.892,0.471,0.753,0.905,0.475,0.603
Missing Values,0.745,0.427,0.5,0.745,0.427,0.5,0.745,0.427,0.5,0.745,0.427,0.5,0.255,0.203,0.5,0.745,0.427,0.5,0.745,0.427,0.5
Label Noise,0.235,0.216,0.278,0.245,0.233,0.305,0.235,0.221,0.255,0.347,0.347,0.443,0.265,0.26,0.263,0.276,0.263,0.274,0.224,0.216,0.306
Outlier Injection,0.673,0.478,0.46,0.51,0.434,0.464,0.745,0.427,0.466,0.663,0.508,0.511,0.673,0.402,0.481,0.643,0.417,0.437,0.643,0.44,0.464
Feature Corruption,0.745,0.427,0.5,0.745,0.427,0.5,0.745,0.427,0.5,0.745,0.427,0.5,0.255,0.203,0.5,0.745,0.427,0.5,0.745,0.427,0.5
