Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
KNN,0.7347,0.6,0.5948,59.5,🟡 Degrades Mid-Range,1
Random Forest,0.7653,0.6,0.5811,58.1,🟡 Degrades Mid-Range,2
SVM,0.7653,0.6,0.5775,57.8,🟡 Degrades Mid-Range,3
XGBoost,0.7755,0.6,0.5764,57.6,🟡 Degrades Mid-Range,4
Logistic Regression,0.7551,0.6,0.5688,56.9,🟡 Degrades Mid-Range,5
Gradient Boosting,0.7245,0.6,0.324,32.4,🔴 Degrades Early,6
Decision Tree,0.6531,0.6,0.0868,8.7,🔴 Degrades Early,7
