Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.366,0.363,0.682,0.322,0.318,0.632,0.336,0.333,0.669,0.356,0.356,0.57,0.314,0.309,0.577,0.356,0.356,0.672,0.261,0.26,0.512
Covariate Drift,0.237,0.164,0.484,0.232,0.162,0.657,0.278,0.223,0.642,0.234,0.162,0.49,0.272,0.265,0.551,0.231,0.157,0.487,0.362,0.361,0.655
Distribution Shift,0.26,0.223,0.551,0.342,0.341,0.657,0.253,0.14,0.655,0.228,0.204,0.486,0.307,0.302,0.579,0.254,0.238,0.503,0.253,0.227,0.51
Class Imbalance,0.404,0.384,0.74,0.374,0.345,0.664,0.378,0.363,0.707,0.378,0.369,0.586,0.345,0.326,0.604,0.403,0.378,0.746,0.387,0.376,0.717
Missing Values,0.301,0.294,0.581,0.289,0.272,0.596,0.314,0.306,0.616,0.286,0.283,0.524,0.292,0.289,0.561,0.3,0.273,0.584,0.296,0.291,0.578
Label Noise,0.292,0.29,0.577,0.292,0.29,0.552,0.28,0.279,0.564,0.296,0.295,0.53,0.274,0.271,0.53,0.304,0.303,0.584,0.296,0.295,0.568
Outlier Injection,0.312,0.3,0.646,0.302,0.3,0.554,0.295,0.27,0.63,0.317,0.316,0.545,0.286,0.282,0.547,0.324,0.322,0.616,0.308,0.304,0.609
Feature Corruption,0.251,0.206,0.504,0.236,0.207,0.499,0.246,0.221,0.505,0.259,0.241,0.506,0.256,0.247,0.511,0.248,0.205,0.505,0.262,0.241,0.509
