Rank,Model,Baseline,Worst,Abs Drop,% Drop,Deg Rate/Level,Robustness Score
1,Logistic Regression,0.3492,0.2403,0.1089,31.19,0.2178,84.58
2,KNN,0.3292,0.218,0.1112,33.79,0.2225,82.88
3,SVM,0.3592,0.2091,0.1501,41.8,0.3003,79.12
4,Random Forest,0.3796,0.1893,0.1903,50.13,0.3806,76.67
5,Gradient Boosting,0.3908,0.2365,0.1543,39.49,0.3087,73.26
6,Decision Tree,0.3872,0.2154,0.1718,44.36,0.3436,73.01
7,XGBoost,0.3816,0.2581,0.1235,32.36,0.2469,72.64
