Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC
Gaussian Noise,0.867,0.867,0.928,0.867,0.867,0.97,0.867,0.867,0.942
Covariate Drift,0.4,0.299,0.74,0.733,0.683,0.89,0.733,0.683,0.812
Distribution Shift,0.767,0.734,0.902,0.767,0.734,0.997,0.767,0.734,0.808
Class Imbalance,1.0,1.0,1.0,0.955,0.944,1.0,1.0,1.0,1.0
Missing Values,0.633,0.635,0.908,0.767,0.772,0.943,0.767,0.764,0.885
Label Noise,0.6,0.605,0.713,0.533,0.542,0.748,0.567,0.576,0.739
Outlier Injection,0.7,0.694,0.848,0.633,0.63,0.712,0.733,0.728,0.892
Feature Corruption,0.733,0.734,0.96,0.667,0.556,0.982,0.7,0.624,0.922
