Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
Logistic Regression,0.9333,0.75,0.4,100.0,🟢 Always Reliable,1
SVM,0.9667,0.75,0.4,100.0,🟢 Always Reliable,2
Random Forest,0.9333,0.75,0.3,75.0,🟡 Degrades Mid-Range,3
