Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
Random Forest,0.5455,0.75,0.0,0.0,🔴 Below Threshold at Baseline,1
Logistic Regression,0.4545,0.75,0.0,0.0,🔴 Below Threshold at Baseline,2
SVM,0.6364,0.75,0.0,0.0,🔴 Below Threshold at Baseline,3
Decision Tree,0.3636,0.75,0.0,0.0,🔴 Below Threshold at Baseline,4
KNN,0.2727,0.75,0.0,0.0,🔴 Below Threshold at Baseline,5
Gradient Boosting,0.2727,0.75,0.0,0.0,🔴 Below Threshold at Baseline,6
