Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC
Gaussian Noise,0.455,0.307,0.651,0.636,0.379,0.581,0.636,0.354,0.308,0.364,0.154,0.456,0.273,0.125,0.514,0.364,0.154,0.428
Covariate Drift,0.545,0.176,0.303,0.545,0.176,0.569,0.545,0.176,0.567,0.455,0.156,0.467,0.182,0.091,0.528,0.545,0.176,0.383
Distribution Shift,0.545,0.345,0.624,0.364,0.234,0.506,0.545,0.176,0.531,0.636,0.354,0.588,0.364,0.154,0.553,0.636,0.354,0.558
Class Imbalance,0.667,0.492,0.681,0.444,0.236,0.531,0.667,0.359,0.438,0.444,0.25,0.583,0.333,0.136,0.5,0.333,0.211,0.59
Missing Values,0.091,0.042,0.5,0.545,0.176,0.5,0.545,0.176,0.5,0.091,0.042,0.5,0.545,0.176,0.5,0.091,0.042,0.5
Label Noise,0.091,0.071,0.284,0.0,0.0,0.213,0.0,0.0,0.699,0.091,0.083,0.391,0.091,0.071,0.335,0.091,0.071,0.306
Outlier Injection,0.455,0.167,0.5,0.364,0.199,0.461,0.545,0.176,0.5,0.545,0.176,0.5,0.182,0.1,0.44,0.545,0.176,0.5
Feature Corruption,0.091,0.042,0.5,0.545,0.176,0.5,0.545,0.176,0.5,0.091,0.042,0.5,0.545,0.176,0.5,0.091,0.042,0.5
