Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
Random Forest,0.5714,0.75,0.0,0.0,🔴 Below Threshold at Baseline,1
Logistic Regression,0.6327,0.75,0.0,0.0,🔴 Below Threshold at Baseline,2
SVM,0.6122,0.75,0.0,0.0,🔴 Below Threshold at Baseline,3
