Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC
Gaussian Noise,0.49,0.49,0.62,0.592,0.592,0.705,0.653,0.652,0.703
Covariate Drift,0.531,0.527,0.576,0.653,0.651,0.705,0.633,0.631,0.678
Distribution Shift,0.592,0.592,0.699,0.653,0.651,0.705,0.592,0.588,0.577
Class Imbalance,0.513,0.491,0.623,0.641,0.61,0.671,0.564,0.545,0.586
Missing Values,0.531,0.527,0.552,0.612,0.612,0.673,0.653,0.651,0.633
Label Noise,0.51,0.508,0.513,0.653,0.652,0.648,0.592,0.59,0.567
Outlier Injection,0.531,0.531,0.619,0.571,0.571,0.575,0.673,0.656,0.685
Feature Corruption,0.673,0.656,0.8,0.571,0.569,0.693,0.653,0.631,0.771
