Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.62,0.62,0.68,0.563,0.563,0.568,0.609,0.604,0.647,0.614,0.613,0.614,0.56,0.56,0.58,0.645,0.645,0.704,0.525,0.522,0.547
Covariate Drift,0.579,0.577,0.618,0.526,0.497,0.584,0.581,0.58,0.615,0.571,0.57,0.571,0.525,0.52,0.531,0.591,0.59,0.63,0.61,0.608,0.672
Distribution Shift,0.58,0.58,0.62,0.579,0.577,0.584,0.581,0.56,0.628,0.587,0.571,0.588,0.572,0.572,0.582,0.598,0.571,0.647,0.505,0.455,0.505
Class Imbalance,0.635,0.629,0.723,0.555,0.552,0.577,0.604,0.602,0.679,0.655,0.642,0.649,0.56,0.553,0.585,0.633,0.63,0.743,0.646,0.639,0.746
Missing Values,0.585,0.579,0.62,0.564,0.562,0.575,0.582,0.576,0.622,0.573,0.57,0.573,0.548,0.548,0.565,0.587,0.578,0.618,0.559,0.557,0.611
Label Noise,0.526,0.526,0.541,0.516,0.515,0.527,0.518,0.515,0.541,0.536,0.536,0.536,0.51,0.51,0.514,0.525,0.523,0.546,0.523,0.523,0.535
Outlier Injection,0.589,0.583,0.648,0.558,0.558,0.538,0.573,0.542,0.633,0.591,0.587,0.591,0.539,0.539,0.549,0.597,0.596,0.622,0.596,0.592,0.64
Feature Corruption,0.616,0.615,0.675,0.586,0.582,0.578,0.619,0.616,0.655,0.627,0.627,0.627,0.552,0.551,0.569,0.628,0.611,0.691,0.635,0.629,0.698
