Distortion,DT Acc,DT F1,DT AUC,K Acc,K F1,K AUC,GB Acc,GB F1,GB AUC,X Acc,X F1,X AUC
Gaussian Noise,0.952,0.918,0.94,0.714,0.521,0.787,0.953,0.923,0.984,0.78,0.714,0.886
Covariate Drift,0.919,0.862,0.883,0.706,0.515,0.764,0.916,0.849,0.947,0.918,0.863,0.962
Distribution Shift,0.904,0.827,0.927,0.704,0.523,0.774,0.91,0.854,0.977,0.779,0.723,0.905
Class Imbalance,0.995,0.975,0.986,0.711,0.5,0.784,0.997,0.982,1.0,0.997,0.998,1.0
Missing Values,0.91,0.871,0.897,0.693,0.486,0.73,0.909,0.874,0.95,0.911,0.886,0.951
Label Noise,0.895,0.792,0.844,0.654,0.461,0.702,0.897,0.796,0.833,0.899,0.808,0.83
Outlier Injection,0.926,0.836,0.945,0.665,0.482,0.735,0.925,0.831,0.953,0.926,0.839,0.962
Feature Corruption,0.994,0.973,0.987,0.703,0.511,0.765,0.997,0.984,1.0,0.997,0.998,1.0
