Distortion,RF Acc,RF F1,RF AUC,LR Acc,LR F1,LR AUC,S Acc,S F1,S AUC
Gaussian Noise,0.8,0.796,0.951,0.867,0.867,0.983,0.9,0.9,0.977
Covariate Drift,0.4,0.299,0.74,0.733,0.683,0.89,0.733,0.683,0.812
Distribution Shift,0.767,0.734,0.902,0.767,0.734,0.997,0.767,0.734,0.808
Class Imbalance,0.955,0.944,0.979,0.909,0.889,0.993,0.955,0.944,0.993
Missing Values,0.8,0.805,0.924,0.833,0.832,0.942,0.833,0.832,0.877
Label Noise,0.567,0.56,0.699,0.567,0.56,0.692,0.567,0.562,0.701
Outlier Injection,0.7,0.691,0.859,0.667,0.657,0.683,0.633,0.622,0.908
Feature Corruption,0.933,0.933,0.987,0.867,0.862,0.993,0.933,0.933,0.993
