Model,Baseline,Threshold,Horizon Level,Reliable Range (%),Status,Rank
SVM,0.9667,0.75,0.4,100.0,🟢 Always Reliable,1
Logistic Regression,0.9333,0.75,0.3,75.0,🟡 Degrades Mid-Range,2
Random Forest,0.9333,0.75,0.2581,64.5,🟡 Degrades Mid-Range,3
